number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01974 | e: 1.29759 | total_loss: 1.31733 | 
[iter   400] eo: 0.01429 | e: 0.92081 | total_loss: 0.93509 | 
Extract Features
mAP_eval -> postprocessing
mAP = 0.87 (the)
mAP = 0.97 (president)
mAP = 0.23 (in)
mAP = 0.34 (council)
mAP = 0.94 (with)
mAP = 0.56 (its)
mAP = 1.00 (enclosures)
mAP = 0.95 (and)
mAP = 0.92 (have)
mAP = 0.88 (the)
mAP = 1.00 (honor)
mAP = 0.03 (to)
mAP = 0.88 (be)
mAP = 0.33 (c)
mAP = 0.28 (c)
mAP = 0.02 (andw)
mAP = 0.53 (berry)
mAP = 1.00 (superintendt)
mAP = 1.00 (honble)
mAP = 0.80 (companys)
mAP = 0.39 (nopalry)
mAP = 1.00 (observations)
mAP = 0.00 (resolutionthereon)
mAP = 0.41 (it)
mAP = 1.00 (appearing)
mAP = 0.77 (that)
mAP = 0.53 (a)
mAP = 0.32 (great)
mAP = 0.79 (part)
mAP = 0.59 (of)
mAP = 0.87 (the)
mAP = 1.00 (expense)
mAP = 1.00 (incurred)
mAP = 0.70 (at)
mAP = 0.87 (the)
mAP = 0.62 (nopalry)
mAP = 0.67 (has)
mAP = 0.78 (been)
mAP = 1.00 (occasioned)
mAP = 0.67 (by)
mAP = 1.00 (circumstances)
mAP = 0.76 (that)
mAP = 1.00 (cannot)
mAP = 0.25 (again)
mAP = 1.00 (occur)
mAP = 0.95 (and)
mAP = 0.80 (as)
mAP = 0.87 (the)
mAP = 0.63 (court)
mAP = 0.14 (of)
mAP = 1.00 (rectors)
mAP = 0.92 (have)
mAP = 0.95 (not)
mAP = 0.50 (authorized)
mAP = 0.61 (any)
mAP = 1.00 (deviation)
mAP = 0.32 (from)
mAP = 0.87 (the)
mAP = 1.00 (original)
mAP = 1.00 (design)
mAP = 0.62 (of)
mAP = 0.25 (a)
mAP = 1.00 (nopalryonly)
mAP = 0.88 (the)
mAP = 0.83 (board)
mAP = 1.00 (think)
mAP = 0.52 (it)
mAP = 1.00 (necessary)
mAP = 0.50 (till)
mAP = 1.00 (their)
mAP = 0.20 (plea)
mAP = 1.00 (sure)
mAP = 0.88 (be)
mAP = 1.00 (known)
mAP = 0.73 (to)
mAP = 1.00 (confine)
mAP = 0.87 (the)
mAP = 1.00 (expenses)
mAP = 0.74 (to)
mAP = 0.74 (that)
mAP = 1.00 (object)
mAP = 0.95 (and)
mAP = 0.87 (the)
mAP = 1.00 (preservation)
mAP = 0.64 (of)
mAP = 1.00 (such)
mAP = 1.00 (other)
mAP = 1.00 (plants)
mAP = 0.79 (as)
mAP = 0.67 (may)
mAP = 1.00 (already)
mAP = 0.92 (have)
mAP = 0.68 (been)
mAP = 1.00 (introduced)
mAP = 0.83 (into)
mAP = 0.87 (the)
mAP = 0.56 (garden)
mAP = 0.00 (but)
mAP = 0.39 (for)
mAP = 0.87 (the)
mAP = 0.38 (boards)
mAP = 1.00 (infor)
mAP = 1.00 (mation)
mAP = 1.00 (previous)
mAP = 0.73 (to)
mAP = 1.00 (forming)
mAP = 0.75 (any)
mAP = 1.00 (resolu)
mAP = 0.50 (tion)
mAP = 0.13 (on)
mAP = 0.87 (the)
mAP = 1.00 (present)
mAP = 1.00 (establishment)
mAP = 1.00 (resolved)
mAP = 0.74 (that)
mAP = 1.00 (doctor)
mAP = 0.39 (berry)
mAP = 0.88 (be)
mAP = 0.81 (desired)
mAP = 0.72 (to)
mAP = 1.00 (report)
mAP = 0.88 (the)
mAP = 1.00 (state)
mAP = 0.00 (3190)
mAP = 0.09 (fort)
mAP = 0.00 (st)
mAP = 0.00 (george)
mAP = 0.00 (2d)
mAP = 0.41 (december)
mAP = 0.26 (1791)
mAP = 0.75 (state)
mAP = 0.61 (of)
mAP = 0.88 (the)
mAP = 0.62 (nopalry)
mAP = 1.00 (particularizing)
mAP = 1.00 (what)
mAP = 1.00 (charges)
mAP = 0.00 (he)
mAP = 0.39 (may)
mAP = 1.00 (think)
mAP = 1.00 (absolutely)
mAP = 1.00 (necessary)
mAP = 0.50 (those)
mAP = 0.60 (which)
mAP = 0.67 (may)
mAP = 0.88 (be)
mAP = 1.00 (reduced)
mAP = 1.00 (or)
mAP = 1.00 (entirely)
mAP = 1.00 (discontinued)
mAP = 0.04 (from)
mAP = 0.75 (the)
mAP = 0.02 (clerk)
mAP = 0.37 (to)
mAP = 0.87 (the)
mAP = 0.23 (court)
mAP = 0.01 (of)
mAP = 1.00 (requests)
mAP = 0.77 (read)
mAP = 0.66 (letter)
mAP = 0.33 (from)
mAP = 0.88 (the)
mAP = 0.50 (clerk)
mAP = 0.73 (to)
mAP = 0.88 (the)
mAP = 0.63 (court)
mAP = 0.59 (of)
mAP = 1.00 (requests)
mAP = 0.44 (entered)
mAP = 0.00 (mb)
mAP = 0.00 (no)
mAP = 0.50 (1023)
mAP = 1.00 (reporting)
mAP = 0.88 (the)
mAP = 1.00 (election)
mAP = 0.59 (of)
mAP = 0.50 (new)
mAP = 1.00 (commissioners)
mAP = 0.51 (for)
mAP = 0.87 (the)
mAP = 1.00 (ensuing)
mAP = 0.00 (year)
mAP = 0.62 (read)
mAP = 0.52 (petition)
mAP = 0.59 (of)
mAP = 0.50 (permaul)
mAP = 0.50 (kistnama)
mAP = 1.00 (complaining)
mAP = 1.00 (against)
mAP = 1.00 (suthea)
mAP = 1.00 (raune)
mAP = 0.63 (of)
mAP = 0.51 (vizagapatam)
mAP = 0.37 (ordered)
mAP = 0.55 (that)
mAP = 0.09 (it)
mAP = 0.01 (be)
mAP = 1.00 (ferred)
mAP = 0.72 (to)
mAP = 0.86 (the)
mAP = 1.00 (chief)
mAP = 0.95 (and)
mAP = 0.49 (council)
mAP = 0.70 (at)
mAP = 0.77 (that)
mAP = 0.50 (place)
mAP = 0.93 (with)
mAP = 1.00 (directions)
mAP = 0.72 (to)
mAP = 1.00 (do)
mAP = 1.00 (justice)
mAP = 0.74 (to)
mAP = 0.87 (the)
mAP = 1.00 (parties)
mAP = 1.00 (concerned)
mAP = 0.00 (read)
mAP = 0.05 (the)
mAP = 0.00 (following)
mAP = 0.09 (letter)
mAP = 0.33 (from)
mAP = 0.58 (mr)
mAP = 1.00 (mitford)
mAP = 1.00 (accompanied)
mAP = 0.72 (by)
mAP = 0.48 (a)
mAP = 1.00 (memo)
mAP = 0.00 (rial)
mAP = 1.00 (addressed)
mAP = 0.74 (to)
mAP = 0.87 (the)
mAP = 1.00 (honble)
mAP = 0.89 (the)
mAP = 0.63 (court)
mAP = 0.02 (of)
mAP = 0.50 (directors)
mAP = 0.58 (petition)
mAP = 0.03 (of)
mAP = 0.00 (permaul)
mAP = 0.50 (kistnama)
mAP = 1.00 (referred)
mAP = 0.01 (to)
mAP = 0.75 (vizagapatam)
mAP = 0.02 (to)
mAP = 0.59 (the)
mAP = 1.00 (honble)
mAP = 1.00 (major)
mAP = 0.92 (general)
mAP = 1.00 (willm)
mAP = 1.00 (medows)
mAP = 0.86 (president)
mAP = 0.95 (and)
mAP = 1.00 (governor)
mAP = 0.06 (c)
mAP = 0.00 (in)
mAP = 0.19 (council)
mAP = 0.26 (fort)
mAP = 0.32 (st)
mAP = 0.02 (george)
mAP = 1.00 (honble)
mAP = 0.00 (3379)
mAP = 0.10 (fort)
mAP = 0.12 (st)
mAP = 0.01 (george)
mAP = 0.00 (20th)
mAP = 0.00 (december)
mAP = 0.22 (1791)
mAP = 1.00 (trichinopoly)
mAP = 0.79 (as)
mAP = 1.00 (mentioned)
mAP = 0.20 (in)
mAP = 0.89 (the)
mAP = 1.00 (orders)
mAP = 0.57 (of)
mAP = 0.85 (the)
mAP = 0.00 (19th)
mAP = 0.19 (from)
mAP = 0.53 (masulipatam)
mAP = 0.64 (read)
mAP = 0.88 (the)
mAP = 1.00 (undermentioned)
mAP = 0.13 (letters)
mAP = 0.69 (entered)
mAP = 0.00 (mb)
mAP = 0.00 (1050)
mAP = 0.00 (1051)
mAP = 1.00 (1052)
mAP = 0.00 (from)
mAP = 0.60 (masulipatam)
mAP = 0.94 (with)
mAP = 1.00 (journal)
mAP = 1.00 (parcels)
mAP = 0.43 (for)
mAP = 0.76 (november)
mAP = 0.01 (from)
mAP = 0.00 (mr)
mAP = 0.58 (atkinson)
mAP = 0.33 (from)
mAP = 0.53 (mr)
mAP = 0.55 (atkinson)
mAP = 0.25 (in)
mAP = 0.50 (reply)
mAP = 0.74 (to)
mAP = 0.87 (the)
mAP = 1.00 (boards)
mAP = 1.00 (orders)
mAP = 0.28 (in)
mAP = 0.88 (the)
mAP = 1.00 (subject)
mAP = 0.24 (of)
mAP = 0.87 (the)
mAP = 1.00 (scavengers)
mAP = 1.00 (employ)
mAP = 0.01 (from)
mAP = 0.55 (masulipatam)
mAP = 0.35 (from)
mAP = 0.58 (masulipatam)
mAP = 0.84 (with)
mAP = 0.50 (cash)
mAP = 0.42 (accounts)
mAP = 0.47 (for)
mAP = 0.78 (november)
mAP = 0.91 (and)
mAP = 1.00 (estimate)
mAP = 0.12 (of)
mAP = 0.00 (disburse)
mAP = 1.00 (ments)
mAP = 0.58 (for)
mAP = 0.16 (december)
mAP = 0.25 (probable)
mAP = 0.00 (balance)
mAP = 0.44 (of)
mAP = 0.01 (cash)
mAP = 0.56 (being)
mAP = 0.00 (mpag)
mAP = 0.00 (14583)
mAP = 1.00 (27)
mAP = 0.05 (letter)
mAP = 0.11 (from)
mAP = 0.00 (dr)
mAP = 0.03 (berry)
mAP = 0.00 (in)
mAP = 0.50 (reply)
mAP = 0.00 (relative)
mAP = 0.17 (to)
mAP = 0.76 (the)
mAP = 0.60 (companys)
mAP = 0.24 (nopalry)
mAP = 0.57 (read)
mAP = 0.88 (the)
mAP = 0.67 (following)
mAP = 0.67 (letter)
mAP = 0.38 (from)
mAP = 1.00 (doctor)
mAP = 1.00 (andrew)
mAP = 0.67 (berry)
mAP = 0.03 (to)
mAP = 0.66 (the)
mAP = 1.00 (honble)
mAP = 1.00 (sir)
mAP = 1.00 (charles)
mAP = 1.00 (pakeley)
mAP = 1.00 (bar)
mAP = 0.00 (t)
mAP = 0.97 (president)
mAP = 0.19 (in)
mAP = 0.42 (council)
mAP = 0.00 (c)
mAP = 1.00 (honble)
mAP = 1.00 (sir)
mAP = 0.29 (i)
mAP = 0.92 (have)
mAP = 0.78 (been)
mAP = 0.03 (honored)
mAP = 0.84 (with)
mAP = 0.53 (your)
mAP = 1.00 (secretarys)
mAP = 0.67 (letter)
mAP = 0.63 (of)
mAP = 0.88 (the)
mAP = 1.00 (3d)
mAP = 1.00 (instant)
mAP = 0.95 (and)
mAP = 0.98 (will)
mAP = 1.00 (endeavour)
mAP = 0.00 (3372)
mAP = 0.00 (fort)
mAP = 0.04 (st)
mAP = 0.01 (george)
mAP = 0.01 (20th)
mAP = 0.03 (december)
mAP = 0.02 (1791)
mAP = 1.00 (endeavour)
mAP = 0.08 (to)
mAP = 0.50 (give)
mAP = 0.43 (you)
mAP = 0.56 (every)
mAP = 1.00 (information)
mAP = 0.20 (on)
mAP = 0.89 (the)
mAP = 1.00 (different)
mAP = 1.00 (subjects)
mAP = 0.26 (i)
mAP = 0.64 (can)
mAP = 0.80 (as)
mAP = 0.15 (i)
mAP = 1.00 (consider)
mAP = 0.38 (it)
mAP = 0.50 (my)
mAP = 1.00 (duty)
mAP = 0.80 (as)
mAP = 0.74 (well)
mAP = 0.78 (as)
mAP = 0.39 (your)
mAP = 0.64 (desire)
mAP = 0.56 (you)
mAP = 0.35 (are)
mAP = 1.00 (pleased)
mAP = 0.74 (to)
mAP = 1.00 (say)
mAP = 0.53 (it)
mAP = 1.00 (appearing)
mAP = 0.77 (that)
mAP = 0.53 (a)
mAP = 0.52 (great)
mAP = 0.79 (part)
mAP = 0.62 (of)
mAP = 0.88 (the)
mAP = 0.83 (expence)
mAP = 0.67 (has)
mAP = 0.78 (been)
mAP = 1.00 (applied)
mAP = 0.70 (to)
mAP = 1.00 (purposes)
mAP = 0.56 (which)
mAP = 1.00 (cannot)
mAP = 0.50 (again)
mAP = 1.00 (occur)
mAP = 1.00 (such)
mAP = 0.80 (as)
mAP = 1.00 (enclosing)
mAP = 1.00 (level)
mAP = 1.00 (ling)
mAP = 0.95 (and)
mAP = 1.00 (manuring)
mAP = 0.88 (the)
mAP = 1.00 (ground)
mAP = 0.75 (digging)
mAP = 1.00 (wells)
mAP = 0.00 (c)
mAP = 0.34 (i)
mAP = 1.00 (must)
mAP = 0.54 (observe)
mAP = 0.77 (that)
mAP = 0.79 (as)
mAP = 0.00 (far)
mAP = 0.80 (as)
mAP = 1.00 (regards)
mAP = 1.00 (enclosing)
mAP = 0.95 (and)
mAP = 1.00 (levelling)
mAP = 0.68 (what)
mAP = 0.61 (you)
mAP = 0.92 (have)
mAP = 1.00 (said)
mAP = 0.48 (is)
mAP = 1.00 (generally)
mAP = 0.50 (just)
mAP = 0.61 (except)
mAP = 0.24 (in)
mAP = 1.00 (such)
mAP = 0.47 (a)
mAP = 1.00 (monsoon)
mAP = 0.80 (as)
mAP = 0.87 (the)
mAP = 1.00 (present)
mAP = 0.95 (when)
mAP = 0.88 (the)
mAP = 1.00 (fall)
mAP = 0.62 (of)
mAP = 1.00 (rain)
mAP = 0.73 (has)
mAP = 0.80 (been)
mAP = 0.00 (so)
mAP = 1.00 (uncommonly)
mAP = 0.25 (great)
mAP = 0.79 (as)
mAP = 0.73 (to)
mAP = 1.00 (break)
mAP = 1.00 (down)
mAP = 0.88 (the)
mAP = 1.00 (enclosures)
mAP = 0.95 (and)
mAP = 0.25 (wash)
mAP = 1.00 (away)
mAP = 0.87 (the)
mAP = 1.00 (soil)
mAP = 0.27 (in)
mAP = 1.00 (many)
mAP = 1.00 (places)
mAP = 0.50 (but)
mAP = 0.94 (with)
mAP = 1.00 (respect)
mAP = 0.03 (to)
mAP = 0.60 (manure)
mAP = 0.94 (and)
mAP = 1.00 (digging)
mAP = 0.27 (i)
mAP = 0.00 (am)
mAP = 1.00 (sorry)
mAP = 0.73 (to)
mAP = 0.88 (be)
mAP = 1.00 (obliged)
mAP = 0.72 (to)
mAP = 1.00 (differ)
mAP = 0.85 (the)
mAP = 0.83 (manure)
mAP = 0.20 (in)
mAP = 1.00 (this)
mAP = 1.00 (country)
mAP = 0.48 (is)
mAP = 1.00 (chiefly)
mAP = 0.50 (wood)
mAP = 1.00 (ashes)
mAP = 0.88 (the)
mAP = 1.00 (only)
mAP = 1.00 (useful)
mAP = 0.62 (part)
mAP = 0.57 (of)
mAP = 0.54 (which)
mAP = 0.48 (is)
mAP = 0.88 (the)
mAP = 1.00 (vegetable)
mAP = 1.00 (alkali)
mAP = 0.65 (which)
mAP = 0.89 (being)
mAP = 1.00 (readily)
mAP = 1.00 (dissolved)
mAP = 0.95 (and)
mAP = 1.00 (even)
mAP = 0.00 (attracted)
mAP = 0.58 (by)
mAP = 0.58 (water)
mAP = 0.27 (is)
mAP = 1.00 (entirely)
mAP = 1.00 (washed)
mAP = 0.64 (out)
mAP = 0.63 (of)
mAP = 0.87 (the)
mAP = 1.00 (ground)
mAP = 1.00 (after)
mAP = 1.00 (684)
mAP = 0.18 (fort)
mAP = 0.00 (william)
mAP = 0.58 (30th)
mAP = 0.50 (july)
mAP = 1.00 (1790)
mAP = 1.00 (successively)
mAP = 0.73 (to)
mAP = 0.88 (the)
mAP = 1.00 (second)
mAP = 1.00 (pass)
mAP = 1.00 (called)
mAP = 1.00 (singhori)
mAP = 0.88 (the)
mAP = 1.00 (other)
mAP = 1.00 (way)
mAP = 0.92 (lay)
mAP = 0.64 (over)
mAP = 0.89 (the)
mAP = 0.03 (hills)
mAP = 0.87 (the)
mAP = 1.00 (former)
mAP = 0.34 (he)
mAP = 0.00 (recommended)
mAP = 0.57 (which)
mAP = 0.61 (of)
mAP = 1.00 (course)
mAP = 0.80 (we)
mAP = 1.00 (adopted)
mAP = 0.89 (the)
mAP = 1.00 (third)
mAP = 1.00 (days)
mAP = 0.00 (journey)
mAP = 0.01 (about)
mAP = 1.00 (8)
mAP = 1.00 (koass)
mAP = 0.32 (was)
mAP = 0.53 (over)
mAP = 0.26 (a)
mAP = 1.00 (large)
mAP = 0.00 (mountain)
mAP = 0.92 (when)
mAP = 0.89 (we)
mAP = 1.00 (descended)
mAP = 0.83 (into)
mAP = 0.88 (the)
mAP = 0.92 (only)
mAP = 1.00 (plain)
mAP = 0.18 (on)
mAP = 0.76 (our)
mAP = 1.00 (road)
mAP = 1.00 (between)
mAP = 0.89 (the)
mAP = 0.63 (first)
mAP = 1.00 (gaul)
mAP = 0.94 (and)
mAP = 1.00 (serinagur)
mAP = 0.89 (the)
mAP = 1.00 (widest)
mAP = 0.76 (part)
mAP = 0.61 (of)
mAP = 0.70 (which)
mAP = 0.35 (was)
mAP = 1.00 (near)
mAP = 0.51 (a)
mAP = 1.00 (village)
mAP = 1.00 (called)
mAP = 1.00 (biteate)
mAP = 1.00 (where)
mAP = 0.52 (it)
mAP = 1.00 (might)
mAP = 0.88 (be)
mAP = 0.50 (about)
mAP = 0.48 (a)
mAP = 1.00 (mile)
mAP = 1.00 (across)
mAP = 0.88 (the)
mAP = 1.00 (ram)
mAP = 1.00 (gonga)
mAP = 0.51 (a)
mAP = 1.00 (beautiful)
mAP = 1.00 (river)
mAP = 0.76 (that)
mAP = 1.00 (runs)
mAP = 1.00 (thro)
mAP = 0.63 (this)
mAP = 1.00 (valley)
mAP = 0.87 (our)
mAP = 1.00 (tract)
mAP = 1.00 (this)
mAP = 1.00 (day)
mAP = 0.81 (lay)
mAP = 1.00 (frequently)
mAP = 0.50 (up)
mAP = 1.00 (almost)
mAP = 1.00 (perpendicular)
mAP = 1.00 (rocks)
mAP = 1.00 (or)
mAP = 0.29 (on)
mAP = 0.88 (the)
mAP = 0.87 (the)
mAP = 1.00 (edges)
mAP = 0.59 (of)
mAP = 0.70 (very)
mAP = 1.00 (steep)
mAP = 0.00 (precipice)
mAP = 0.81 (our)
mAP = 1.00 (fourth)
mAP = 0.95 (and)
mAP = 1.00 (fifth)
mAP = 1.00 (days)
mAP = 1.00 (were)
mAP = 1.00 (spent)
mAP = 0.27 (in)
mAP = 1.00 (ascending)
mAP = 0.67 (hills)
mAP = 1.00 (above)
mAP = 0.67 (hills)
mAP = 0.50 (till)
mAP = 0.68 (we)
mAP = 0.00 (reached)
mAP = 0.55 (a)
mAP = 1.00 (mountainous)
mAP = 1.00 (ridge)
mAP = 0.60 (of)
mAP = 0.55 (great)
mAP = 1.00 (height)
mAP = 1.00 (named)
mAP = 1.00 (sallaramunda)
mAP = 1.00 (here)
mAP = 0.65 (we)
mAP = 1.00 (found)
mAP = 0.03 (a)
mAP = 1.00 (sort)
mAP = 0.61 (of)
mAP = 1.00 (stone)
mAP = 1.00 (house)
mAP = 1.00 (close)
mAP = 1.00 (under)
mAP = 0.50 (a)
mAP = 1.00 (rock)
mAP = 0.53 (built)
mAP = 0.63 (by)
mAP = 0.88 (the)
mAP = 1.00 (rajah)
mAP = 0.52 (for)
mAP = 0.00 (1022)
mAP = 0.07 (1023)
mAP = 0.00 (1050)
mAP = 0.00 (1051)
mAP = 1.00 (1052)
mAP = 0.33 (125)
mAP = 0.00 (125127)
mAP = 0.01 (126)
mAP = 0.00 (14583)
mAP = 0.11 (150)
mAP = 0.50 (1790)
mAP = 0.16 (1791)
mAP = 0.00 (1843)
mAP = 0.00 (19th)
mAP = 0.00 (1st)
mAP = 0.03 (20)
mAP = 0.00 (20th)
mAP = 0.12 (26h)
mAP = 0.12 (27)
mAP = 0.00 (2d)
mAP = 0.10 (30th)
mAP = 0.01 (3185)
mAP = 0.00 (3186)
mAP = 0.00 (3187)
mAP = 0.17 (3189)
mAP = 0.00 (3190)
mAP = 0.25 (32)
mAP = 0.00 (3372)
mAP = 0.00 (3379)
mAP = 0.50 (3d)
mAP = 0.01 (531517)
mAP = 0.03 (684)
mAP = 0.00 (7th)
mAP = 1.00 (8)
mAP = 0.03 (83)
mAP = 0.56 (a)
mAP = 1.00 (ably)
mAP = 0.50 (about)
mAP = 1.00 (above)
mAP = 1.00 (absolutely)
mAP = 0.01 (accom)
mAP = 1.00 (accompanied)
mAP = 1.00 (account)
mAP = 0.78 (accounts)
mAP = 1.00 (across)
mAP = 1.00 (additional)
mAP = 1.00 (addressed)
mAP = 1.00 (adjust)
mAP = 1.00 (adopted)
mAP = 1.00 (adv)
mAP = 1.00 (advantageous)
mAP = 0.50 (after)
mAP = 0.50 (again)
mAP = 1.00 (against)
mAP = 0.00 (agree)
mAP = 1.00 (agreed)
mAP = 1.00 (alkali)
mAP = 0.95 (all)
mAP = 1.00 (allahabad)
mAP = 1.00 (allow)
mAP = 0.67 (allowance)
mAP = 1.00 (almost)
mAP = 1.00 (already)
mAP = 0.51 (also)
mAP = 0.92 (always)
mAP = 0.00 (am)
mAP = 0.93 (and)
mAP = 1.00 (andersons)
mAP = 1.00 (andrew)
mAP = 1.00 (andw)
mAP = 0.00 (antage)
mAP = 0.80 (any)
mAP = 1.00 (appearing)
mAP = 1.00 (appears)
mAP = 0.33 (applied)
mAP = 1.00 (appropriation)
mAP = 0.04 (approved)
mAP = 0.00 (april)
mAP = 0.32 (are)
mAP = 0.83 (arrangements)
mAP = 0.17 (arrival)
mAP = 0.78 (as)
mAP = 1.00 (ascending)
mAP = 1.00 (ashes)
mAP = 0.14 (assist)
mAP = 0.70 (at)
mAP = 0.52 (atkinson)
mAP = 1.00 (attention)
mAP = 0.00 (attracted)
mAP = 0.50 (authorized)
mAP = 0.50 (away)
mAP = 0.00 (balance)
mAP = 1.00 (bar)
mAP = 1.00 (barren)
mAP = 0.88 (be)
mAP = 1.00 (beautiful)
mAP = 0.78 (been)
mAP = 0.69 (before)
mAP = 0.50 (begun)
mAP = 0.89 (being)
mAP = 0.50 (bengal)
mAP = 0.67 (berry)
mAP = 1.00 (besides)
mAP = 1.00 (between)
mAP = 1.00 (biteate)
mAP = 0.58 (board)
mAP = 0.34 (boards)
mAP = 0.50 (botanical)
mAP = 1.00 (break)
mAP = 0.55 (built)
mAP = 1.00 (bursements)
mAP = 0.25 (but)
mAP = 0.66 (by)
mAP = 0.08 (c)
mAP = 0.05 (calcutta)
mAP = 1.00 (called)
mAP = 0.33 (camp)
mAP = 1.00 (can)
mAP = 1.00 (cannot)
mAP = 0.03 (carries)
mAP = 1.00 (cases)
mAP = 0.25 (cash)
mAP = 1.00 (certainly)
mAP = 1.00 (charges)
mAP = 0.50 (charles)
mAP = 1.00 (chief)
mAP = 1.00 (chiefly)
mAP = 1.00 (circumstances)
mAP = 1.00 (civil)
mAP = 0.01 (clerk)
mAP = 1.00 (close)
mAP = 0.06 (closed)
mAP = 0.50 (com)
mAP = 1.00 (commander)
mAP = 1.00 (commencement)
mAP = 0.33 (commissioner)
mAP = 1.00 (commissioners)
mAP = 0.85 (companys)
mAP = 0.00 (comparatively)
mAP = 1.00 (complaining)
mAP = 0.50 (concerned)
mAP = 1.00 (confine)
mAP = 0.04 (cons)
mAP = 1.00 (consider)
mAP = 1.00 (considerable)
mAP = 0.50 (considerably)
mAP = 1.00 (considered)
mAP = 1.00 (contingencies)
mAP = 1.00 (cooley)
mAP = 1.00 (copy)
mAP = 0.33 (correspond)
mAP = 0.42 (council)
mAP = 1.00 (country)
mAP = 0.00 (courage)
mAP = 1.00 (course)
mAP = 0.63 (court)
mAP = 0.07 (cul)
mAP = 1.00 (cultivated)
mAP = 0.50 (cultivation)
mAP = 1.00 (current)
mAP = 0.00 (dated)
mAP = 1.00 (dates)
mAP = 1.00 (day)
mAP = 1.00 (days)
mAP = 0.24 (december)
mAP = 1.00 (deficiences)
mAP = 1.00 (demanded)
mAP = 0.00 (department)
mAP = 1.00 (descended)
mAP = 1.00 (descrip)
mAP = 1.00 (design)
mAP = 0.83 (desire)
mAP = 0.83 (desired)
mAP = 1.00 (despatches)
mAP = 0.50 (deviation)
mAP = 1.00 (diameter)
mAP = 1.00 (diately)
mAP = 1.00 (differ)
mAP = 1.00 (different)
mAP = 1.00 (digging)
mAP = 1.00 (direct)
mAP = 1.00 (directed)
mAP = 1.00 (directions)
mAP = 0.25 (directors)
mAP = 1.00 (dis)
mAP = 0.00 (disburse)
mAP = 1.00 (disbursed)
mAP = 1.00 (disbursement)
mAP = 1.00 (discontinued)
mAP = 0.50 (dispatched)
mAP = 1.00 (dissolved)
mAP = 1.00 (do)
mAP = 1.00 (doctor)
mAP = 1.00 (down)
mAP = 0.48 (dr)
mAP = 1.00 (drawn)
mAP = 0.00 (due)
mAP = 0.02 (dukhun)
mAP = 1.00 (duty)
mAP = 1.00 (each)
mAP = 1.00 (edges)
mAP = 1.00 (effect)
mAP = 1.00 (election)
mAP = 0.33 (employ)
mAP = 1.00 (enable)
mAP = 1.00 (enabled)
mAP = 1.00 (enclosing)
mAP = 1.00 (enclosures)
mAP = 1.00 (encouragement)
mAP = 1.00 (endeavour)
mAP = 0.06 (endeavoured)
mAP = 1.00 (engage)
mAP = 0.25 (english)
mAP = 1.00 (ensuing)
mAP = 0.59 (entered)
mAP = 1.00 (entertaining)
mAP = 1.00 (entirely)
mAP = 1.00 (especially)
mAP = 0.00 (esqr)
mAP = 1.00 (establishment)
mAP = 0.12 (estabts)
mAP = 1.00 (estimate)
mAP = 1.00 (even)
mAP = 0.56 (every)
mAP = 1.00 (examining)
mAP = 0.58 (except)
mAP = 0.87 (expence)
mAP = 0.50 (expences)
mAP = 1.00 (expended)
mAP = 0.50 (expenditure)
mAP = 0.50 (expense)
mAP = 1.00 (expenses)
mAP = 1.00 (experience)
mAP = 0.03 (explanation)
mAP = 1.00 (extended)
mAP = 0.33 (extract)
mAP = 1.00 (extraordinary)
mAP = 0.01 (falconer)
mAP = 1.00 (fall)
mAP = 0.00 (far)
mAP = 0.00 (feet)
mAP = 0.25 (ferred)
mAP = 1.00 (fifth)
mAP = 1.00 (finishing)
mAP = 0.64 (first)
mAP = 0.02 (fixed)
mAP = 0.67 (following)
mAP = 0.43 (for)
mAP = 1.00 (former)
mAP = 1.00 (formerly)
mAP = 1.00 (forming)
mAP = 0.07 (fort)
mAP = 1.00 (found)
mAP = 1.00 (fourth)
mAP = 1.00 (frequently)
mAP = 0.30 (from)
mAP = 0.50 (furnish)
mAP = 0.47 (garden)
mAP = 0.50 (gardens)
mAP = 1.00 (gardiner)
mAP = 1.00 (gardiners)
mAP = 1.00 (garrison)
mAP = 1.00 (gaul)
mAP = 1.00 (general)
mAP = 1.00 (generally)
mAP = 0.07 (george)
mAP = 0.53 (gibson)
mAP = 0.50 (give)
mAP = 0.03 (given)
mAP = 1.00 (gonga)
mAP = 0.00 (government)
mAP = 1.00 (governor)
mAP = 1.00 (govt)
mAP = 1.00 (granted)
mAP = 0.48 (great)
mAP = 1.00 (ground)
mAP = 0.25 (had)
mAP = 1.00 (hands)
mAP = 0.73 (has)
mAP = 0.92 (have)
mAP = 0.17 (he)
mAP = 1.00 (height)
mAP = 1.00 (here)
mAP = 0.67 (hills)
mAP = 0.33 (him)
mAP = 0.11 (himself)
mAP = 0.79 (his)
mAP = 1.00 (hitherto)
mAP = 1.00 (honble)
mAP = 1.00 (honor)
mAP = 0.01 (honored)
mAP = 1.00 (horticultural)
mAP = 1.00 (house)
mAP = 0.04 (however)
mAP = 0.30 (i)
mAP = 1.00 (ihave)
mAP = 1.00 (imagined)
mAP = 1.00 (imme)
mAP = 1.00 (improvements)
mAP = 0.17 (in)
mAP = 1.00 (includ)
mAP = 1.00 (incurred)
mAP = 1.00 (individual)
mAP = 0.08 (induce)
mAP = 1.00 (influences)
mAP = 1.00 (infor)
