number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01974 | e: 1.29759 | total_loss: 1.31733 | 
[iter   400] eo: 0.01429 | e: 0.92081 | total_loss: 0.93509 | 
Extract Features
mAP_eval -> postprocessing
mAP = 0.00 (for)
mAP = 0.50 (each)
mAP = 0.00 (particular)
mAP = 1.00 (disbursement)
mAP = 0.02 (to)
mAP = 0.68 (the)
mAP = 0.83 (paymaster)
mAP = 0.35 (general)
mAP = 1.00 (though)
mAP = 1.00 (they)
mAP = 0.51 (were)
mAP = 1.00 (never)
mAP = 1.00 (demanded)
mAP = 0.25 (before)
mAP = 0.30 (and)
mAP = 0.61 (that)
mAP = 0.33 (he)
mAP = 0.50 (had)
mAP = 0.35 (received)
mAP = 0.67 (them)
mAP = 0.50 (up)
mAP = 0.02 (to)
mAP = 0.01 (the)
mAP = 0.50 (1st)
mAP = 0.00 (of)
mAP = 0.50 (october)
mAP = 0.92 (last)
mAP = 0.39 (before)
mAP = 0.69 (the)
mAP = 1.00 (receipt)
mAP = 0.26 (of)
mAP = 0.25 (your)
mAP = 0.15 (letter)
mAP = 0.53 (these)
mAP = 0.10 (accounts)
mAP = 0.48 (are)
mAP = 0.26 (accounts)
mAP = 0.50 (current)
mAP = 0.46 (for)
mAP = 1.00 (several)
mAP = 0.61 (months)
mAP = 1.00 (dis)
mAP = 1.00 (bursements)
mAP = 0.71 (and)
mAP = 0.60 (are)
mAP = 1.00 (certainly)
mAP = 1.00 (muster)
mAP = 1.00 (rolls)
mAP = 0.50 (except)
mAP = 0.59 (that)
mAP = 0.36 (every)
mAP = 1.00 (individual)
mAP = 1.00 (gardiner)
mAP = 1.00 (servant)
mAP = 0.71 (and)
mAP = 1.00 (cooley)
mAP = 0.00 (is)
mAP = 0.60 (not)
mAP = 0.83 (specified)
mAP = 0.69 (by)
mAP = 0.52 (name)
mAP = 0.42 (when)
mAP = 0.00 (i)
mAP = 0.00 (was)
mAP = 0.33 (ordered)
mAP = 0.02 (to)
mAP = 1.00 (camp)
mAP = 0.06 (in)
mAP = 1.00 (april)
mAP = 0.81 (last)
mAP = 0.49 (being)
mAP = 0.63 (under)
mAP = 0.68 (the)
mAP = 1.00 (necessity)
mAP = 0.49 (of)
mAP = 1.00 (selling)
mAP = 0.33 (off)
mAP = 1.00 (imme)
mAP = 1.00 (diately)
mAP = 0.00 (i)
mAP = 0.04 (was)
mAP = 0.83 (then)
mAP = 0.50 (unable)
mAP = 0.33 (to)
mAP = 0.51 (transmit)
mAP = 0.01 (the)
mAP = 0.10 (accounts)
mAP = 0.00 (at)
mAP = 0.00 (that)
mAP = 0.00 (time)
mAP = 0.00 (due)
mAP = 0.00 (which)
mAP = 0.00 (makes)
mAP = 0.50 (those)
mAP = 0.55 (last)
mAP = 1.00 (sent)
mAP = 0.26 (to)
mAP = 0.68 (the)
mAP = 0.75 (paymaster)
mAP = 0.02 (to)
mAP = 0.07 (be)
mAP = 0.29 (for)
mAP = 0.06 (a)
mAP = 1.00 (longer)
mAP = 0.50 (period)
mAP = 1.00 (than)
mAP = 1.00 (usual)
mAP = 0.05 (a)
mAP = 1.00 (copy)
mAP = 0.11 (of)
mAP = 0.44 (all)
mAP = 0.47 (these)
mAP = 0.40 (accounts)
mAP = 1.00 (includ)
mAP = 0.00 (ing)
mAP = 0.50 (also)
mAP = 0.57 (that)
mAP = 0.41 (for)
mAP = 0.56 (the)
mAP = 0.67 (month)
mAP = 0.14 (of)
mAP = 0.50 (october)
mAP = 1.00 (now)
mAP = 0.02 (accom)
mAP = 1.00 (panies)
mAP = 0.68 (this)
mAP = 0.18 (letter)
mAP = 0.22 (you)
mAP = 0.25 (will)
mAP = 0.51 (observe)
mAP = 0.25 (on)
mAP = 0.12 (examining)
mAP = 0.73 (these)
mAP = 0.42 (accounts)
mAP = 0.13 (that)
mAP = 0.56 (the)
mAP = 1.00 (monthly)
mAP = 1.00 (expences)
mAP = 0.51 (very)
mAP = 1.00 (considerably)
mAP = 0.74 (and)
mAP = 0.51 (that)
mAP = 0.68 (the)
mAP = 1.00 (gardiners)
mAP = 0.64 (and)
mAP = 1.00 (servants)
mAP = 0.50 (can)
mAP = 0.00 (only)
mAP = 0.00 (be)
mAP = 0.00 (3187)
mAP = 0.10 (fort)
mAP = 0.07 (st)
mAP = 0.19 (george)
mAP = 0.00 (2d)
mAP = 0.13 (december)
mAP = 0.04 (1791)
mAP = 0.27 (be)
mAP = 1.00 (considered)
mAP = 0.12 (as)
mAP = 1.00 (fixed)
mAP = 0.38 (when)
mAP = 0.64 (the)
mAP = 0.50 (allowance)
mAP = 0.17 (of)
mAP = 0.50 (150)
mAP = 0.43 (pagodas)
mAP = 0.12 (p)
mAP = 0.75 (month)
mAP = 0.08 (was)
mAP = 1.00 (granted)
mAP = 0.03 (it)
mAP = 0.12 (was)
mAP = 0.70 (then)
mAP = 0.21 (and)
mAP = 0.18 (has)
mAP = 0.33 (always)
mAP = 1.00 (since)
mAP = 0.48 (been)
mAP = 1.00 (imagined)
mAP = 0.16 (that)
mAP = 0.13 (it)
mAP = 0.17 (was)
mAP = 0.51 (to)
mAP = 0.34 (be)
mAP = 1.00 (disbursed)
mAP = 0.43 (by)
mAP = 0.35 (me)
mAP = 0.10 (in)
mAP = 0.69 (the)
mAP = 0.70 (most)
mAP = 1.00 (advantageous)
mAP = 1.00 (manner)
mAP = 0.12 (you)
mAP = 0.30 (will)
mAP = 1.00 (therefore)
mAP = 1.00 (allow)
mAP = 0.72 (me)
mAP = 0.17 (to)
mAP = 1.00 (point)
mAP = 0.56 (out)
mAP = 0.36 (what)
mAP = 0.75 (appears)
mAP = 0.10 (in)
mAP = 0.70 (the)
mAP = 0.39 (accounts)
mAP = 0.50 (that)
mAP = 0.35 (from)
mAP = 0.26 (their)
mAP = 0.25 (being)
mAP = 1.00 (transmitted)
mAP = 0.17 (at)
mAP = 1.00 (intervals)
mAP = 0.42 (of)
mAP = 1.00 (some)
mAP = 0.81 (months)
mAP = 0.58 (the)
mAP = 1.00 (money)
mAP = 0.34 (received)
mAP = 0.80 (not)
mAP = 0.50 (expended)
mAP = 0.07 (in)
mAP = 0.67 (the)
mAP = 0.37 (different)
mAP = 0.81 (months)
mAP = 0.22 (has)
mAP = 0.83 (enabled)
mAP = 0.72 (me)
mAP = 0.37 (to)
mAP = 0.57 (under)
mAP = 1.00 (take)
mAP = 0.70 (works)
mAP = 0.42 (of)
mAP = 1.00 (considerable)
mAP = 0.33 (expence)
mAP = 0.02 (i)
mAP = 0.12 (have)
mAP = 0.53 (built)
mAP = 0.05 (a)
mAP = 0.53 (large)
mAP = 0.28 (well)
mAP = 0.50 (20)
mAP = 1.00 (feet)
mAP = 0.08 (in)
mAP = 1.00 (diameter)
mAP = 0.70 (and)
mAP = 1.00 (mounted)
mAP = 0.16 (it)
mAP = 0.86 (with)
mAP = 0.51 (three)
mAP = 1.00 (priotas)
mAP = 1.00 (hitherto)
mAP = 1.00 (sufficient)
mAP = 0.30 (to)
mAP = 0.50 (water)
mAP = 0.76 (all)
mAP = 0.73 (the)
mAP = 0.50 (garden)
mAP = 0.73 (and)
mAP = 0.56 (have)
mAP = 0.50 (raised)
mAP = 1.00 (levelled)
mAP = 0.21 (and)
mAP = 1.00 (cultivated)
mAP = 0.00 (more)
mAP = 0.89 (ground)
mAP = 1.00 (than)
mAP = 0.02 (was)
mAP = 0.28 (at)
mAP = 0.06 (first)
mAP = 1.00 (specified)
mAP = 1.00 (without)
mAP = 1.00 (subjecting)
mAP = 0.69 (the)
mAP = 0.62 (honble)
mAP = 0.50 (com)
mAP = 1.00 (pany)
mAP = 0.47 (to)
mAP = 0.30 (any)
mAP = 1.00 (additional)
mAP = 0.35 (expence)
mAP = 1.00 (besides)
mAP = 0.70 (the)
mAP = 0.37 (cultivation)
mAP = 0.38 (of)
mAP = 0.71 (the)
mAP = 0.50 (nopal)
mAP = 0.50 (of)
mAP = 0.47 (which)
mAP = 1.00 (there)
mAP = 0.60 (are)
mAP = 0.24 (great)
mAP = 0.00 (quantities)
mAP = 0.31 (of)
mAP = 0.71 (all)
mAP = 0.72 (the)
mAP = 0.59 (different)
mAP = 1.00 (kinds)
mAP = 0.67 (by)
mAP = 0.14 (dr)
mAP = 1.00 (andersons)
mAP = 0.83 (desire)
mAP = 0.23 (as)
mAP = 0.67 (appears)
mAP = 0.05 (in)
mAP = 0.28 (his)
mAP = 0.04 (letters)
mAP = 0.36 (to)
mAP = 0.69 (the)
mAP = 0.51 (honble)
mAP = 0.52 (board)
mAP = 0.06 (i)
mAP = 0.48 (have)
mAP = 1.00 (endeavoured)
mAP = 0.10 (to)
mAP = 1.00 (turn)
mAP = 0.11 (a)
mAP = 0.71 (part)
mAP = 0.25 (of)
mAP = 0.63 (the)
mAP = 0.85 (ground)
mAP = 0.34 (into)
mAP = 0.22 (a)
mAP = 0.75 (botanical)
mAP = 0.33 (garden)
mAP = 0.71 (and)
mAP = 1.00 (3189)
mAP = 0.20 (fort)
mAP = 0.12 (st)
mAP = 0.14 (george)
mAP = 0.20 (2d)
mAP = 0.07 (december)
mAP = 0.21 (1791)
mAP = 0.01 (fort)
mAP = 0.14 (st)
mAP = 0.12 (george)
mAP = 0.50 (30th)
mAP = 0.26 (november)
mAP = 0.01 (1791)
mAP = 1.00 (improvements)
mAP = 0.54 (or)
mAP = 0.83 (even)
mAP = 1.00 (finishing)
mAP = 0.65 (the)
mAP = 0.52 (works)
mAP = 0.06 (i)
mAP = 0.34 (have)
mAP = 1.00 (begun)
mAP = 0.27 (as)
mAP = 0.00 (i)
mAP = 0.14 (was)
mAP = 1.00 (enabled)
mAP = 0.51 (to)
mAP = 0.50 (do)
mAP = 1.00 (formerly)
mAP = 0.06 (i)
mAP = 0.58 (request)
mAP = 0.43 (of)
mAP = 0.00 (you)
mAP = 0.48 (to)
mAP = 0.37 (lay)
mAP = 0.54 (this)
mAP = 0.12 (letter)
mAP = 0.26 (before)
mAP = 0.30 (the)
mAP = 0.11 (honble)
mAP = 0.71 (the)
mAP = 0.57 (president)
mAP = 0.11 (in)
mAP = 0.04 (council)
mAP = 0.82 (with)
mAP = 0.35 (its)
mAP = 0.52 (enclosures)
mAP = 0.70 (and)
mAP = 0.55 (have)
mAP = 0.70 (the)
mAP = 0.00 (honor)
mAP = 0.02 (to)
mAP = 0.39 (be)
mAP = 0.30 (c)
mAP = 0.38 (c)
mAP = 1.00 (andw)
mAP = 0.52 (berry)
mAP = 0.50 (superintendt)
mAP = 0.17 (honble)
mAP = 0.35 (companys)
mAP = 0.01 (nopalry)
mAP = 1.00 (observations)
mAP = 0.00 (resolutionthereon)
mAP = 0.00 (it)
mAP = 0.50 (appearing)
mAP = 0.34 (that)
mAP = 0.00 (a)
mAP = 0.12 (great)
mAP = 0.30 (part)
mAP = 0.07 (of)
mAP = 0.55 (the)
mAP = 1.00 (expense)
mAP = 1.00 (incurred)
mAP = 0.38 (at)
mAP = 0.69 (the)
mAP = 0.47 (nopalry)
mAP = 0.22 (has)
mAP = 0.27 (been)
mAP = 1.00 (occasioned)
mAP = 0.59 (by)
mAP = 1.00 (circumstances)
mAP = 0.49 (that)
mAP = 0.55 (cannot)
mAP = 0.00 (again)
mAP = 0.56 (occur)
mAP = 0.32 (and)
mAP = 0.43 (as)
mAP = 0.70 (the)
mAP = 0.35 (court)
mAP = 0.01 (of)
mAP = 1.00 (rectors)
mAP = 0.48 (have)
mAP = 0.79 (not)
mAP = 0.50 (authorized)
mAP = 0.21 (any)
mAP = 1.00 (deviation)
mAP = 0.34 (from)
mAP = 0.68 (the)
mAP = 1.00 (original)
mAP = 1.00 (design)
mAP = 0.41 (of)
mAP = 0.07 (a)
mAP = 1.00 (nopalryonly)
mAP = 0.69 (the)
mAP = 0.53 (board)
mAP = 1.00 (think)
mAP = 0.28 (it)
mAP = 0.50 (necessary)
mAP = 0.50 (till)
mAP = 0.28 (their)
mAP = 1.00 (plea)
mAP = 1.00 (sure)
mAP = 0.12 (be)
mAP = 1.00 (known)
mAP = 0.47 (to)
mAP = 1.00 (confine)
mAP = 0.68 (the)
mAP = 0.50 (expenses)
mAP = 0.42 (to)
mAP = 0.49 (that)
mAP = 1.00 (object)
mAP = 0.04 (and)
mAP = 0.70 (the)
mAP = 1.00 (preservation)
mAP = 0.46 (of)
mAP = 0.35 (such)
mAP = 0.51 (other)
mAP = 1.00 (plants)
mAP = 0.52 (as)
mAP = 0.33 (may)
mAP = 1.00 (already)
mAP = 0.48 (have)
mAP = 0.28 (been)
mAP = 1.00 (introduced)
mAP = 0.38 (into)
mAP = 0.71 (the)
mAP = 0.56 (garden)
mAP = 0.50 (but)
mAP = 0.00 (for)
mAP = 0.32 (the)
mAP = 0.51 (boards)
mAP = 1.00 (infor)
mAP = 1.00 (mation)
mAP = 1.00 (previous)
mAP = 0.42 (to)
mAP = 1.00 (forming)
